[COT 2022-3M-11 18:33:12] 76561198280627555: Set GodMode To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:33:12] 76561198280627555: Set UnlimitedAmmo To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:34:28] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:36:34] 76561198280627555: Set GodMode To false [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:36:34] 76561198280627555: Set UnlimitedAmmo To false [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:39:9s] 76561198280627555: Set UnlimitedAmmo To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:39:11] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:42:31] 76561198280627555: Teleported to position <11961.144531, 59.064880, 8919.061523>
[COT 2022-3M-11 19:6m:56] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 22:21:3s] 76561198280627555: Spawned Entity Short Stick (WoodenStick<dda707a0>, 1, 250) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:3s] 76561198280627555: Spawned Entity Short Stick (WoodenStick<dda71030>, 1, 250) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:4s] 76561198280627555: Spawned Entity Short Stick (WoodenStick<dda6a970>, 1, 250) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:4s] 76561198280627555: Spawned Entity Short Stick (WoodenStick<dda729e0>, 1, 250) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:4s] 76561198280627555: Spawned Entity Short Stick (WoodenStick<dda6ba90>, 1, 250) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:32] 76561198280627555: Spawned Entity Firewood (Firewood<eaa5d0a0>, 1, 500) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:32] 76561198280627555: Spawned Entity Firewood (Firewood<eaa64880>, 1, 500) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:34] 76561198280627555: Spawned Entity Firewood (Firewood<eaa659a0>, 1, 500) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:34] 76561198280627555: Spawned Entity Firewood (Firewood<eaa67be0>, 1, 500) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:34] 76561198280627555: Spawned Entity Firewood (Firewood<eaa6e2a0>, 1, 500) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:21:34] 76561198280627555: Spawned Entity Firewood (Firewood<eaa68470>, 1, 500) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:22:32] 76561198280627555: Spawned Entity Rag (Rag<d97ca070>, 6, 50) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:22:33] 76561198280627555: Spawned Entity Rag (Rag<d97cdc60>, 6, 50) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:22:33] 76561198280627555: Spawned Entity Rag (Rag<d97d0730>, 6, 50) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:22:33] 76561198280627555: Spawned Entity Rag (Rag<d97ca900>, 6, 50) at <6639.713379, 377.726501, 8582.169922>
[COT 2022-3M-11 22:42:47] 76561198280627555: Spawned Entity Fat (Lard<e6462320>, 200, 100) at <5199.743164, 346.291595, 8569.250000>
[COT 2022-3M-11 22:42:47] 76561198280627555: Spawned Entity Fat (Lard<e6469b00>, 200, 100) at <5199.743164, 346.291595, 8569.250000>
[COT 2022-3M-11 22:43:24] 76561198280627555: Spawned Entity Chicken Steak (ChickenBreastMeat<e65f9aa0>, 125, 50) at <5199.743164, 346.291595, 8569.250000>
[COT 2022-3M-11 22:46:0s] 76561198280627555: Spawned Entity Chicken Steak (ChickenBreastMeat<db019030>, 125, 50) at <5198.705566, 346.291626, 8569.321289>
[COT 2022-3M-11 22:46:0s] 76561198280627555: Spawned Entity Chicken Steak (ChickenBreastMeat<db016df0>, 125, 50) at <5198.705566, 346.291626, 8569.321289>
[COT 2022-3M-11 22:46:1s] 76561198280627555: Spawned Entity Chicken Steak (ChickenBreastMeat<db01bb00>, 125, 50) at <5198.705566, 346.291626, 8569.321289>
[COT 2022-3M-11 22:46:1s] 76561198280627555: Spawned Entity Chicken Steak (ChickenBreastMeat<db017680>, 125, 50) at <5198.705566, 346.291626, 8569.321289>
[COT 2022-3M-11 23:15:30] 76561198280627555: Spawned Entity Universal Flashlight (UniversalLight<cd49b230>, -1, 70) at <4601.120117, 339.558594, 9564.111328>
[COT 2022-3M-11 23:15:46] 76561198280627555: Spawned Entity 9V Battery (Battery9V<dcab8ad0>, 50, 20) at <4601.120117, 339.558594, 9564.111328>
[COT 2022-3M-11 23:35:19] 76561198280627555: Spawned Entity 20rd LAR Mag (Mag_FAL_20Rnd<da416000>, 1, 100) at <4637.193848, 342.891052, 9621.506836>
[COT 2022-3M-11 23:35:19] 76561198280627555: Spawned Entity 20rd LAR Mag (Mag_FAL_20Rnd<da417120>, 1, 100) at <4637.193848, 342.891052, 9621.506836>
[COT 2022-3M-11 23:35:20] 76561198280627555: Spawned Entity 20rd LAR Mag (Mag_FAL_20Rnd<cf4d3910>, 1, 100) at <4637.193848, 342.891052, 9621.506836>
[COT 2022-3M-11 23:35:20] 76561198280627555: Spawned Entity 20rd LAR Mag (Mag_FAL_20Rnd<cf4d8eb0>, 1, 100) at <4637.193848, 342.891052, 9621.506836>
[COT 2022-3M-11 23:35:20] 76561198280627555: Spawned Entity 20rd LAR Mag (Mag_FAL_20Rnd<cf4d41a0>, 1, 100) at <4637.193848, 342.891052, 9621.506836>
[COT 2022-3M-11 23:35:20] 76561198280627555: Spawned Entity 20rd LAR Mag (Mag_FAL_20Rnd<cf4d52c0>, 1, 100) at <4637.193848, 342.891052, 9621.506836>
